,experiment,distance_m,mean_rssi_dbm,estimated_distance_m,error_dist_m,rel_error_dist,max_error_m,min_error_m,std_rel_error,mean_rel_error
30,07,13.0,-39.5531914893617,12.942857348505976,-0.057142651494023866,-0.004395588576463374,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
31,07,21.0,-45.490196078431374,21.70408182126738,0.7040818212673798,0.03352770577463714,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
32,07,31.0,-48.67272727272727,28.634570344668706,-2.365429655331294,-0.07630418243004174,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
33,07,40.0,-52.97826086956522,41.65881457639683,1.6588145763968285,0.04147036440992071,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
34,07,51.0,-55.68518518518518,52.731583390917294,1.7315833909172937,0.03395261550818223,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
35,07,61.0,-56.648148148148145,57.3437132841281,-3.6562867158719,-0.05993912648970328,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
36,07,71.0,-58.8,69.16069220404664,-1.83930779595336,-0.0259057436049769,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
37,07,82.0,-60.0,76.77821720673447,-5.2217827932655325,-0.06368027796665283,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
38,07,91.0,-63.478873239436616,103.94261100783261,12.94261100783261,0.14222649459156714,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
39,07,99.0,-63.09836065573771,100.55515021450076,1.555150214500756,0.01570858802526016,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
40,07,110.0,-62.79032258064516,97.89391146759831,-12.106088532401685,-0.11005535029456077,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
41,07,120.0,-66.91803278688525,140.23209563857054,20.23209563857054,0.16860079698808786,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
42,07,130.0,-65.09722222222223,119.67196505024174,-10.328034949758262,-0.07944642269044817,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
43,07,141.0,-71.07692307692308,201.42726675990804,60.427266759908036,0.4285621756021847,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
44,07,151.0,-66.41975308641975,134.27794615784381,-16.722053842156186,-0.1107420784248754,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
45,07,160.0,-65.97872340425532,129.2191553886443,-30.78084461135569,-0.19238027882097306,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523
