,experiment,distance_m,recv_rssi_dbm,estimated_distance_m,error_dist_m,mean_error_m,max_error_m,min_error_m
20,02_1,5.0,-28.12676056338028,5.2285065250070275,0.2285065250070275,2.879089487589389,6.553181007268442,-4.3356128373206015
21,02_1,10.0,-35.32515337423313,11.371956784437034,1.3719567844370335,2.879089487589389,6.553181007268442,-4.3356128373206015
22,02_1,15.0,-37.22981366459627,13.967698515980219,-1.032301484019781,2.879089487589389,6.553181007268442,-4.3356128373206015
23,02_1,20.0,-38.291866028708135,15.664387162679398,-4.3356128373206015,2.879089487589389,6.553181007268442,-4.3356128373206015
24,02_1,25.0,-42.23809523809524,23.983409886078796,-1.016590113921204,2.879089487589389,6.553181007268442,-4.3356128373206015
25,02_1,30.0,-44.42051282051282,30.35440494376018,0.35440494376017995,2.879089487589389,6.553181007268442,-4.3356128373206015
26,02_1,35.0,-46.5,37.99331466087445,2.9933146608744465,2.879089487589389,6.553181007268442,-4.3356128373206015
27,02_1,40.0,-46.73372781065089,38.96406357677511,-1.0359364232248893,2.879089487589389,6.553181007268442,-4.3356128373206015
28,02_1,45.0,-48.004784688995215,44.694166324605284,-0.30583367539471595,2.879089487589389,6.553181007268442,-4.3356128373206015
29,02_1,50.0,-50.1849710982659,56.55318100726844,6.553181007268442,2.879089487589389,6.553181007268442,-4.3356128373206015
